office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Albany,Dale Groutage,Northern Albany County 11-1,148,
U.S. Senate,,D,Albany,Dale Groutage,Albany County Fairgrounds/Harmony 12-1,491,
U.S. Senate,,D,Albany,Dale Groutage,Centennial School 13-1,100,
U.S. Senate,,D,Albany,Dale Groutage,Rock River Town Hall 14-1,27,
U.S. Senate,,D,Albany,Dale Groutage,Slade School 31-1,19,
U.S. Senate,,D,Albany,Dale Groutage,Slade School 31-2,507,
U.S. Senate,,D,Albany,Dale Groutage,Albany County Public Library 31-3,378,
U.S. Senate,,D,Albany,Dale Groutage,Spring Creek School 31-4,277,
U.S. Senate,,D,Albany,Dale Groutage,Laramie Junior High School 41-1,336,
U.S. Senate,,D,Albany,Dale Groutage,Laramie Junior High School 41-2,69,
U.S. Senate,,D,Albany,Dale Groutage,Indian Paintbrush School 41-3,381,
U.S. Senate,,D,Albany,Dale Groutage,Indian Paintbrush School 41-4,59,
U.S. Senate,,D,Albany,Dale Groutage,Albany County Public Library 51-1,32,
U.S. Senate,,D,Albany,Dale Groutage,Albany County Public Library 51-2,219,
U.S. Senate,,D,Albany,Dale Groutage,Spring Creek School 51-3,265,
U.S. Senate,,D,Albany,Dale Groutage,Linford School 51-4,23,
U.S. Senate,,D,Albany,Dale Groutage,Linford School 51-5,441,
U.S. Senate,,D,Albany,Dale Groutage,Linford School 51-6,192,
U.S. Senate,,D,Albany,Dale Groutage,Beitel School 61-1,1,
U.S. Senate,,D,Albany,Dale Groutage,Beitel School 61-2,404,
U.S. Senate,,D,Albany,Dale Groutage,Thayer School 61-3,386,
U.S. Senate,,D,Albany,Dale Groutage,Thayer School 61-4,86,
U.S. Senate,,D,Albany,Dale Groutage,,4841,
U.S. Senate,,R,Albany,Craig Thomas,Northern Albany County 11-1,296,
U.S. Senate,,R,Albany,Craig Thomas,Albany County Fairgrounds/Harmony 12-1,1051,
U.S. Senate,,R,Albany,Craig Thomas,Centennial School 13-1,145,
U.S. Senate,,R,Albany,Craig Thomas,Rock River Town Hall 14-1,84,
U.S. Senate,,R,Albany,Craig Thomas,Slade School 31-1,20,
U.S. Senate,,R,Albany,Craig Thomas,Slade School 31-2,745,
U.S. Senate,,R,Albany,Craig Thomas,Albany County Public Library 31-3,353,
U.S. Senate,,R,Albany,Craig Thomas,Spring Creek School 31-4,217,
U.S. Senate,,R,Albany,Craig Thomas,Laramie Junior High School 41-1,519,
U.S. Senate,,R,Albany,Craig Thomas,Laramie Junior High School 41-2,159,
U.S. Senate,,R,Albany,Craig Thomas,Indian Paintbrush School 41-3,589,
U.S. Senate,,R,Albany,Craig Thomas,Indian Paintbrush School 41-4,116,
U.S. Senate,,R,Albany,Craig Thomas,Albany County Public Library 51-1,25,
U.S. Senate,,R,Albany,Craig Thomas,Albany County Public Library 51-2,174,
U.S. Senate,,R,Albany,Craig Thomas,Spring Creek School 51-3,253,
U.S. Senate,,R,Albany,Craig Thomas,Linford School 51-4,38,
U.S. Senate,,R,Albany,Craig Thomas,Linford School 51-5,818,
U.S. Senate,,R,Albany,Craig Thomas,Linford School 51-6,137,
U.S. Senate,,R,Albany,Craig Thomas,Beitel School 61-1,1,
U.S. Senate,,R,Albany,Craig Thomas,Beitel School 61-2,600,
U.S. Senate,,R,Albany,Craig Thomas,Thayer School 61-3,408,
U.S. Senate,,R,Albany,Craig Thomas,Thayer School 61-4,186,
U.S. Senate,,R,Albany,Craig Thomas,,6934,TRUE
U.S. House,,D,Albany,Gary Trauner,Northern Albany County 11-1,200,
U.S. House,,D,Albany,Gary Trauner,Albany County Fairgrounds/Harmony 12-1,726,
U.S. House,,D,Albany,Gary Trauner,Centennial School 13-1,123,
U.S. House,,D,Albany,Gary Trauner,Rock River Town Hall 14-1,38,
U.S. House,,D,Albany,Gary Trauner,Slade School 31-1,23,
U.S. House,,D,Albany,Gary Trauner,Slade School 31-2,829,
U.S. House,,D,Albany,Gary Trauner,Albany County Public Library 31-3,569,
U.S. House,,D,Albany,Gary Trauner,Spring Creek School 31-4,367,
U.S. House,,D,Albany,Gary Trauner,Laramie Junior High School 41-1,552,
U.S. House,,D,Albany,Gary Trauner,Laramie Junior High School 41-2,130,
U.S. House,,D,Albany,Gary Trauner,Indian Paintbrush School 41-3,617,
U.S. House,,D,Albany,Gary Trauner,Indian Paintbrush School 41-4,120,
U.S. House,,D,Albany,Gary Trauner,Albany County Public Library 51-1,50,
U.S. House,,D,Albany,Gary Trauner,Albany County Public Library 51-2,294,
U.S. House,,D,Albany,Gary Trauner,Spring Creek School 51-3,378,
U.S. House,,D,Albany,Gary Trauner,Linford School 51-4,27,
U.S. House,,D,Albany,Gary Trauner,Linford School 51-5,699,
U.S. House,,D,Albany,Gary Trauner,Linford School 51-6,259,
U.S. House,,D,Albany,Gary Trauner,Beitel School 61-1,2,
U.S. House,,D,Albany,Gary Trauner,Beitel School 61-2,628,
U.S. House,,D,Albany,Gary Trauner,Thayer School 61-3,565,
U.S. House,,D,Albany,Gary Trauner,Thayer School 61-4,154,
U.S. House,,D,Albany,Gary Trauner,,7350,
U.S. House,,Libertarian,Albany,Thomas R. Rankin,Northern Albany County 11-1,15,
U.S. House,,Libertarian,Albany,Thomas R. Rankin,Albany County Fairgrounds/Harmony 12-1,56,
U.S. House,,Libertarian,Albany,Thomas R. Rankin,Centennial School 13-1,8,
